,Nama,Harga Diskon,Harga Awal,Diskon,Rating,Terjual,Kota/Kab,Feedback,Toko
0,VYATTA BULLET LIGHTNING USB CABLE - GARANSI 12 BULAN TANPA BATAS,67150,79000,15,4.9,213,Jakarta Timur,34rb,Toko A
1,Oraimo Charger Handphone Firefly 3 Quick Charge Fast Charging 10W 2A LED Free Kabel Data Micro USB Type-C Lightning OCW-E66S,50915,89000,42.8,5,1,Jakarta Pusat,4rb,Toko B
2,Softbox Flash 50cm x 70cm Lighting Studio Strobist photography,107300,145000,26,5,2,Kab. Tangerang,16rb,Toko C
3,Portable Light Stand Tripod 200cm for Studio Lighting - W803,45800,188000,75.6,,0,Jakarta Barat,11rb,Toko D
4,Stand Tripod 180cm for Studio Lighting W803,45600,195000,76.6,5,1,Jakarta Barat,15rb,Toko E
5,Lampu studio flash godox k160 mini pioneer lighting studio k-160,637500,637500,0,5,66,Jakarta Utara,4rb,Toko B
6,Softbox Lighting 4 Socket E27 Plus Tripod Stand 2M dan Cover Putih Studio Foto,395000,395000,0,4.9,112,Jakarta Barat,48rb,Toko F
7,Soket Lampu Foto Studio Ganda E27 Twin Bracket Holder Lighting Lamp,79700,79700,0,,0,Jakarta Barat,3rb,Toko G
8,Portable Light Stand Tripod 3 Section 200cm for Studio Lightning,46100,200000,77,4.7,150,Jakarta Barat,71rb,Toko H
9,Lightstand tripod lampu tiang lampu light stand portable lighting stand,55500,55500,0,5,17,Kab. Bekasi,1rb,Toko I
10,Lighting Lampu Studio Payung Softbox Reflektor E27 Single Socket,100000,100000,0,5,3,Surabaya,4rb,Toko B
11,mic wireless smartphone iphone iPad IOS mikrofon microphone Lavalier rekam live podcast video audio jepit podcast video audio game tik tok lightning,129800,129800,0,5,2,Jakarta Barat,80rb,Toko J
12,TaffSTUDIO Portable Light Stand Tripod 1 Section 160cm for Studio Lighting - TB-037 - Black,39999,39999,0,4,1,Surabaya,4rb,Toko B
13,Midio M416 Video LED Lighting Kit Plus Baterai dan Charger,335000,1155000,71,5,3,Jakarta Barat,48rb,Toko F
14,Paket Lighting Studio Foto Softbox 50x70 Light Stand 45watt vlog youtube socket e27,205000,220000,6.8,4.3,8,Bandung,3rb,Toko G
15,Lightdow Lighting Kamera 160 LED,271800,1231200,77.9,,0,Jakarta Barat,15rb,Toko E
16,Softbox Payung Lighting Fotografi UB05,644800,3265800,80.3,,0,Jakarta Barat,15rb,Toko E
17,Lighting Kit with Backdrop - LD-TZ11A,894300,4823000,81.5,,0,Jakarta Barat,15rb,Toko E
18,Softbox Foto Studio Lighting Kit Youtube Vlog LD-TZ07A,415900,1777000,76.6,5,1,Jakarta Barat,15rb,Toko E
19,Softbox Reflektor Photography Foto Studio Lighting Kit,841600,2299000,63.4,,0,Jakarta Barat,15rb,Toko E
20,Flash Diffuser Lighting Softbox Studio Photography Light Ball 65 cm,174200,453400,61.6,5,1,Jakarta Barat,9rb,Toko K
21,Portrait Foto Studio Lighting Kit Youtube Vlog - VL-9004,240900,2092000,88.5,,0,Jakarta Barat,6rb,Toko L
22,Kabel Data Charger L Gaming Type C Micro USB Lightning Fast Charging,15000,55000,72.7,4.9,574,Jakarta Pusat,11rb,Toko D
23,Portrait Foto Studio Lighting Kit Youtube Vlog LD-TZ07A,418400,2037000,79.5,,0,Jakarta Barat,6rb,Toko L
24,Portrait Foto Studio Day Lighting Kit with Backdrop LD-TZ25,1105000,5043000,78.1,,0,Jakarta Barat,6rb,Toko L
25,Photography Foto Studio Lightning Kit Youtube Vlog - D-HZ7,671200,3311000,79.7,,0,Jakarta Barat,6rb,Toko L
26,Paket LED studio 204 video lighting youtube vlog,800000,800000,0,4.8,7,Bandung,3rb,Toko G
27,Paket lighting 6 Led slim Dmx 512 par 54 led Rgbw,2400000,2400000,0,,0,Jakarta Barat,1rb,Toko I
28,Foto Studio Lighting Kit with Backdrop - LD-TZ11A,896800,4021000,77.7,,0,Jakarta Barat,6rb,Toko L
29,Lampu Studio LED Bi-color Dimmable Lighting 30W with Remote,989100,5016600,80.3,,0,Jakarta Barat,15rb,Toko E
30,Lampu Flash Studio Video Photography Lighting 3 in 1 Color 300W,1042200,5286600,80.3,,0,Jakarta Barat,15rb,Toko E
31,Stand Tripod 4 Section 180cm Studio Lighting FXFZ01,190900,230000,17,,0,Jakarta Barat,15rb,Toko E
32,Portrait Foto Studio Lighting Kit Youtube Vlog - VL-9004,238400,2438000,90.2,,0,Jakarta Barat,15rb,Toko E
33,Lighting Softbox Foto Studio Kit with Backdrop,1102500,2845000,61.2,,0,Jakarta Barat,15rb,Toko E
34,Casell Ultra thin LED-396AS Professional LED Video Photo Lighting,1250000,1250000,0,,0,Jakarta Pusat,2rb,Toko M
35,Nanlite Compac 100 Dimmable 5600K Slim Soft Lighting Studio LED Panel,3475000,3475000,0,,0,Jakarta Pusat,2rb,Toko M
36,Nanlite 1200CSA Bicolor LED Panel Lighting Video Professional,5815000,5815000,0,,0,Jakarta Pusat,2rb,Toko M
37,Casell Ultra thin LED-396A Bi Color Professional Video Photo Lighting,1150000,1150000,0,,0,Jakarta Pusat,2rb,Toko M
38,Nanlite Forza 300 LED Monolight Continuos Lighting Video,13195000,13195000,0,,0,Jakarta Pusat,2rb,Toko M
39,Casell Ultra thin LED-396 Daylight Professional Video Photo Lighting,1150000,1150000,0,,0,Jakarta Pusat,2rb,Toko M
40,Nanlite Compac 100B Bi-Color Slim Soft Lighting Studio LED Panel,4650000,4650000,0,,0,Jakarta Pusat,2rb,Toko M
41,Nanlite MixPad 27 Tunable RGB Hard and Soft LED Panel Lampu - Lighting,4635000,4635000,0,,0,Jakarta Pusat,2rb,Toko M
42,Nanlite MixWand 18 RGB Hard and Soft LED Lighting Painting Wand Lampu,2350000,2350000,0,,0,Jakarta Pusat,2rb,Toko M
43,Nanlite Forza 60 LED Monolight Daylight Lighting Kamera Video,3220000,3220000,0,,0,Jakarta Pusat,2rb,Toko M
44,Photography Foto Studio Lightning Kit Youtube Vlog - D-HZ7,668700,3971000,83.2,,0,Jakarta Barat,15rb,Toko E
45,Photography Foto Studio Lightning Kit Youtube Vlog - D-HZ7,679700,2827500,76,,0,Jakarta Barat,11rb,Toko D
46,Portrait Foto Studio Lighting Kit Youtube Vlog - LD-TZ07A,422700,1756500,75.9,,0,Jakarta Barat,11rb,Toko D
47,Lighting Kit Foto Studio Day with Backdrop LDTZ30,4966100,5983200,17,,0,Jakarta Barat,15rb,Toko E
48,EZMODE Studio Lighting Stand + 4 Socket Softbox 60x80cm with Grid,639000,700000,8.7,5,0,Jakarta Utara,4rb,Toko B
49,VYATTA BULLET LIGHTNING iPhone IOS Cable - Kabel Data FAST CHARGE,42415,79000,46.3,4.9,0,Jakarta Timur,34rb,Toko A
50,VYATTA AUTO Cable - Kabel Data Smart Disconnect Lightning,304300,358000,15,4.7,0,Jakarta Timur,34rb,Toko A
51,EZMODE Studio Lighting Stand + 4 Socket Octagon Softbox 80cm with Grid,639000,700000,8.7,,0,Jakarta Utara,4rb,Toko B
52,NICEFOTO Studio Kit Portable / Photo Box 40x40 with Lighting,475000,475000,0,,0,Jakarta Utara,4rb,Toko B
53,NICEFOTO Heavy Duty Boom Arm LS-07 with Stand for Lighting Studio,749000,749000,0,,0,Jakarta Utara,4rb,Toko B
54,Nanlite Mira 26B Dual Flex Arm Beauty Lighting - Lampu Make up,1750000,1750000,0,,0,Jakarta Pusat,2rb,Toko M
55,Nanlite Forza 60B Bi-Color LED Monolight Lighting Kamera Video,3875000,3875000,0,,0,Jakarta Pusat,2rb,Toko M
56,1 SET TRIPOD 2.8M + LAMPU PROFESSIONAL LIGHTING SOLUTION 400W SOFT BALL LIGHT FLASH LAMPU STUDIO,1250000,1250000,0,,0,Jakarta Utara,6rb,Toko L
57,Nanlite Compac 20 Daylight Slim Soft Lighting Studio LED Panel Lampu,438000,438000,0,,0,Jakarta Pusat,2rb,Toko M
58,Nanlite Forza 500 LED Monolight Continuos Lighting - Lampu Video,20750000,20750000,0,,0,Jakarta Pusat,2rb,Toko M
59,Nanlite Compac 200B Bi-Color Slim Soft Lighting Studio LED Panel Video,8525000,8525000,0,,0,Jakarta Pusat,2rb,Toko M
60,Nanlite LumiPad 11 Bi-Color Soft LED Panel Lighting - Lampu Video,587000,587000,0,,0,Jakarta Pusat,2rb,Toko M
61,Aputure MC RGBWW LED Light - Amaran Lampu Video Lighting,1550000,1550000,0,,0,Jakarta Pusat,2rb,Toko M
62,Casell LED-330RC DayLight CRI 95 Video Lighting LED - Lampu Kamera,1450000,1450000,0,,0,Jakarta Pusat,2rb,Toko M
63,EZMODE Orion 80x LED Video Lighting 80W - 7200LM 3000-6500K,2190000,2250000,2.7,5,1,Jakarta Utara,4rb,Toko B
64,PORTABLE PHOTO BOX 40X40 WITH LIGHTING - NICE FOTO STUDIO KIT,499000,499000,0,5,15,Jakarta Utara,4rb,Toko B
65,RS232 to RS485 RS422 Converter with TVS Lightning protection PW02,210000,210000,0,,0,Jakarta Utara,11rb,Toko D
66,RS232 to RS485 RS422 Active converter ESD Surge lightning protect PW03,360000,360000,0,,0,Jakarta Utara,11rb,Toko D
67,Oraimo EasyLine 2 Kabel Data Iphone Lightning/ Type C/ Micro Usb Cable 2A Fast & Durable OCD-113 adalah kabel data Lightning untuk Iphone/ Micro Usb /,16915,39900,57.6,,1,Jakarta Pusat,4rb,Toko B
68,Nanlite 600CSA Bicolor LED Panel Lighting Video Professional,3285000,3285000,0,,0,Jakarta Pusat,2rb,Toko M
69,Casell LED M-200AI Portable LED Video Lighting Vlog with Power Bank,1600000,1600000,0,,0,Jakarta Pusat,2rb,Toko M
70,Casell LED-330ARC Bi-Color CRI 95 Video Lighting LED - Lampu Kamera,1450000,1450000,0,,0,Jakarta Pusat,2rb,Toko M
71,PULUZ 40 x 40cm Mini Photo Studio Box Lightbox Photography Softbox LED Photo Lighting 1.007.0011,595000,595000,0,,0,Jakarta Barat,10rb,Toko N
72,Nanlite Forza 200 Daylight LED Monolight Continuos Lighting Video,9950000,9950000,0,,0,Jakarta Pusat,2rb,Toko M
73,Lighting Studio Midio LED RGB Studio Foto M-REM5 Video LED Live LED,900000,900000,0,4.9,21,Jakarta Barat,48rb,Toko F
74,Casell LED 600AS Bi-Color Video Lighting LED Lampu Kamera With Remote,2400000,2400000,0,,0,Jakarta Pusat,2rb,Toko M
75,GODOX 150 Portable Mini Master Studio Flash Lighting K-150A,690000,690000,0,,0,Jakarta Pusat,2rb,Toko M
76,Otg Usb A 3.0 to iPhone Lightning Mcdodo Ot-8600 Converter Adapter Original,85000,85000,0,4.8,7,Jakarta Pusat,3rb,Toko G
77,Lightdow Lighting Kamera 160 LED LD-160,270000,755000,64.2,,0,Jakarta Barat,27rb,Toko O
78,Tripod Camera 2M- Light Stand 2 M For Studio Lightning,25000,25000,0,4.9,258,Kab. Tangerang,19rb,Toko P
79,Portable Lighting Stand Tripod 3 Section 200cm - SN303,45500,274000,83.4,5,1,Jakarta Barat,15rb,Toko E
80,Portable Lighting Stand Tripod 200cm for Studio Lightning - SN303,45600,230000,80.2,,0,Jakarta Barat,11rb,Toko D
81,Tripod Lampu Light Stand Portable 180cm Studio Photo Foto Lighting,97500,97500,0,4.7,178,Depok,14rb,Toko Q
82,Casell LED-320AS Continuos Bi-Color Lighting On-Camera - Foto & Video,920000,920000,0,5,1,Jakarta Pusat,2rb,Toko M
83,NiceFoto 100W daylight COB LED light HC-1000 Studio Lighting - Bowens Mount,2350000,2350000,0,5,2,Jakarta Pusat,2rb,Toko M
84,Softbox Lighting Socket E27 Plus Tripod Stand 2M dan Lampu 45 watt,499000,499000,0,4.8,39,Jakarta Barat,48rb,Toko F
85,VLOGGING KIT All in One Tripod Lightning Mic Remote Live Streaming VIZZION PK-771,95000,189900,50,5,2,Kab. Bekasi,108rb,Toko R
86,Casell LED-300 Continuos Daylight Lighting On-Camera - Foto & Video,830000,830000,0,,0,Jakarta Pusat,2rb,Toko M
87,Casell LED-300A Continuos Bi-Color Lighting On-Camera - Foto & Video,830000,830000,0,,0,Jakarta Pusat,2rb,Toko M
88,Stand Tripod 3 Section 200cm Portable Lighting,47200,47200,0,5,4,Jakarta Barat,14rb,Toko Q
89,Perlengkapan Lampu Foto Studio Lighting Stand Set Umbrella Reflector,271900,271900,0,,0,Jakarta Barat,1rb,Toko I
90,Portable Light Stand Tripod 200cm for Studio Lighting - W803,46500,180000,74.2,,0,Jakarta Barat,27rb,Toko O
91,KINGMA Extension Bracket Camera for Lighting Microphone and Stand,67000,67000,0,,0,Jakarta Utara,4rb,Toko B
92,CORDE Kabel Data 3 in 1 Fast Charging 66W Micro USB Lightning Type C,109000,300000,63.7,5,6,Jakarta Utara,801,Toko S
93,Kabel Data CORDE Type C to Lightning For iPhone Fast Charging 3A PD,45000,99000,54.5,5,33,Jakarta Utara,801,Toko S
94,Kabel Data CORDE 3 in 1 5A Max Micro USB Lightning Type C,69000,230000,70,4.9,57,Jakarta Utara,801,Toko S
95,Oraimo Data Cable Fastline 2 Kabel Data Type-C to Lightning 5V 2.4A Fast Charging Panjang 1 Meter OCD-CL54,50915,99000,48.6,5,1,Jakarta Pusat,4rb,Toko B
96,Oraimo Data Cable Solidline Kabel Android Micro Type-C Lightning 5V 3A Fast Charging Panjang 1 Meter OCD-M72/C72/L72,28815,79000,63.5,5,2,Jakarta Pusat,4rb,Toko B
97,KNF Concept Heavy Duty Light Stand 2.3M for Lighting Studio Equipment,399000,399000,0,5,2,Jakarta Utara,4rb,Toko B
98,CORDE Kabel Data TYPE C to iPhone Lightning 18W PD Fast Charging 3A,49000,149000,67.1,5,27,Jakarta Utara,801,Toko S
99,Kabel Aukey CB-AL01 90 2M USB-A to Lightning (NO PACKING & NO WARRANTY),75000,639000,88.3,5,2,Jakarta Barat,19rb,Toko P
100,Portable Light Stand Tripod 200cm for Studio Lighting - W803,44000,193500,77.3,,0,Jakarta Barat,3rb,Toko G
101,Foto Studio Lightning Kit Youtube Vlog Unboxing with Backdrop,887200,5704000,84.4,,0,Jakarta Barat,27rb,Toko O
102,Tripod Lampu Portable Stand 180cm for Studio Lightning - W803,46300,198000,76.6,4.7,44,Jakarta Barat,71rb,Toko H
103,Softbox Lighting Single Socket E27 Plus Tripod Stand 2M Cover Putih Ukuran,399000,399000,0,4.9,283,Jakarta Barat,48rb,Toko F
104,Lighting Kit Set Foto Studio Youtube Vlog,238600,238600,0,,0,Jakarta Barat,14rb,Toko Q
105,EZMODE Video Lighting LED 80W - 7200LM 3000-6500K - ORION 80X,2190000,2190000,0,,0,Jakarta Pusat,14rb,Toko Q
106,Portrait Foto Studio Lighting Kit Youtube Vlog TaffSTUDIO,232700,758000,69.3,5,3,Jakarta Barat,71rb,Toko H
107,Lighting Stand 110CM - Light Stand 110CM,35000,35000,0,,0,Jakarta Utara,4rb,Toko B
108,EZ Stand Extension Boom Stand Plus Light Stand Studio 260CM for Lighting,280000,400000,30,5,2,Jakarta Utara,4rb,Toko B
109,Lighting Stand GS-200 - Light Stand 200CM,55000,55000,0,,0,Jakarta Utara,4rb,Toko B
110,NICEFOTO Lighting Stand LS-260AT - Light Stand 260CM,389000,389000,0,,0,Jakarta Utara,4rb,Toko B
111,CORDE Converter Type C to Apple Lightning 2.0 Support Audio Voice Data,55000,109000,49.5,,0,Jakarta Utara,801,Toko S
112,GROSIR Portable Light Stand Tripod 1 Section 160cm for Studio Lighting,39800,39800,0,,0,Jakarta Pusat,25rb,Toko T
113,Portable Light Stand Tripod 180cm for Studio Lighting,58100,58100,0,,0,Jakarta Barat,2rb,Toko M
114,Light Stand Tripod 2 meter Kaki lampu studio - Lighting Flash speed lite stand,45000,45000,0,4.8,55,Jakarta Barat,11rb,Toko D
115,Portrait Foto Studio Lighting Kit Youtube Vlog - VL-9004,236900,1265400,81.3,,0,Jakarta Barat,27rb,Toko O
116,Softbox Reflektor Photography Studio Lighting Kit,855700,3634000,76.5,,0,Jakarta Barat,11rb,Toko D
117,Portable Light Stand Tripod 180cm for Studio Lightning - W803,114000,114000,0,,0,Cilegon,55rb,Toko U
118,CHARGER ORIGINAL IPHONE 11 13 PRO MAX XS XR 20W USB-C TO LIGHTNING,28000,65000,56.9,5,5,Jakarta Barat,2rb,Toko M
119,iMac Lighting Lampu Meja Led Putih Terang ASC 2930S,35000,35000,0,,0,Jakarta Pusat,271,Toko V
120,CORDE Kabel Data Transparan PD Type C to Lightning Fast Charging 20W,59000,149000,60.4,,0,Jakarta Utara,801,Toko S
121,Kabel Data Cas Casan 3 in 1 Kabel USB Fast Charging Kabel Micro USB Lightning Iphone Apple Type C 1.2M 120cm,19800,75000,73.6,5,33,Semarang,4rb,Toko B
122,Kabel Data Micro Lightning CB161L 1M Fast Charging 2.4A,39000,46000,15.2,,0,Jakarta Utara,6rb,Toko L
123,Portable Light Stand Tripod 200cm for Studio Lightning W803 FOT-034,52000,107000,51.4,,0,Jakarta Barat,3rb,Toko G
124,HANMI Portrait Foto Studio Lighting Kit Youtube Vlog Unboxing CEC5400,1383700,1504000,8,,0,Jakarta Barat,6rb,Toko L
125,Foto Studio Day Light Lighting Kit Youtube Vlog - K9,2854800,3103000,8,,0,Jakarta Barat,6rb,Toko L
126,Portrait Foto Studio Day Lighting Kit with Backdrop - LD-TZ25,1093700,3446600,68.3,,0,Jakarta Barat,27rb,Toko O
127,Reflektor Cahaya Studio Foto 5 in 1 Foto lighting Studio Reflector FOT-042,53000,103000,48.5,1,3,Jakarta Barat,3rb,Toko G
128,Foto Studio Lighting Kit with Backdrop TaffSTUDIO,871900,1428000,38.9,5,1,Jakarta Barat,71rb,Toko H
129,Photography Foto Studio Lightning Kit Youtube Vlog - D-HZ7,663500,1979750,66.5,,0,Jakarta Barat,27rb,Toko O
130,Ulanzi J12 2-Person Wireless Microphone with Lightning Connector for iOS Devices,599000,599000,0,,0,Jakarta Pusat,3rb,Toko G
131,TaffSTUDIO Foto Studio Lighting Kit with Backdrop LD-TZ11A,887200,4021000,77.9,,0,Jakarta Barat,27rb,Toko O
132,Lampu Sorot Laser Panggung untuk Lightning Sound System L18RG,173500,828000,79,,0,Jakarta Barat,15rb,Toko E
133,Kabel Charger Lightning Multiple Strands Good Quality 1m S-IP5G,9900,48000,79.4,,0,Jakarta Barat,15rb,Toko E
134,Micro USB Female to Lightning 8 Pin Adapter for iPhone,5400,24000,77.5,,0,Jakarta Barat,15rb,Toko E
135,Kabel Data Pendek 20cm iPhone Lightning Mcdodo CA-5153 Powerbank Cable Original,37500,37500,0,5,9,Jakarta Pusat,3rb,Toko G
136,Mcdodo Kabel Data Set Travel Type C to C +Lightning Connector Adapter,89000,89000,0,5,1,Jakarta Pusat,3rb,Toko G
137,Kabel Data Pendek 20cm Usb Type C to iPhone Lightning 18W Fast Charge Mcdodo Ca-7291,47500,47500,0,5,14,Jakarta Pusat,3rb,Toko G
138,Mcdodo Kabel Coiled Type C to Lightning 36W PD Fast Charge Ca-1960,79000,79000,0,5,1,Jakarta Pusat,3rb,Toko G
139,Kabel Data 3 in 1 Type C Micro Usb iPhone Lightning 3 Cabang Baseus Original,68000,68000,0,4.9,28,Jakarta Pusat,3rb,Toko G
140,Fitting Lampu Led E27 Cabang 5 Dudukan Bohlam Studio Foto Lighting Fotografi,27000,27000,0,,0,Sleman,3rb,Toko G
141,Ulanzi UW-MIC 20P 2.4GHz Wireless Microphone with Lightning Connector for iOS Devices,1626000,1626000,0,,0,Jakarta Pusat,3rb,Toko G
142,Portrait Foto Studio Day Lighting Kit with Backdrop TaffSTUDIO LD-TZ25,1093700,5043000,78.3,,0,Jakarta Barat,27rb,Toko O
143,Portable Light Stand Tripod 180cm 180 cm for Studio Lighting Lampu Kamera Photo Photography,89000,89000,0,,0,Sleman,3rb,Toko G
144,Lightdow Lighting Kamera 160 LED,264900,928400,71.5,,0,Jakarta Barat,3rb,Toko G
145,Portrait Foto Studio Lighting Kit Youtube Vlog - LD-TZ07A,412900,1290250,68,,0,Jakarta Barat,27rb,Toko O
146,Fitting E27 Cabang 3 Lampu Bohlam Studio Led Lighting Light Stand,25000,25000,0,,0,Sleman,3rb,Toko G
147,Lighting Stand Tripod 3 Section 200cm - SN303,59900,59900,0,,0,Kab. Tangerang,4rb,Toko B
148,Softbox Reflektor Photography Foto Studio Lighting Kit Safstar,820600,1362000,39.8,5,3,Jakarta Barat,71rb,Toko H
149,TaffSTUDIO Portrait Foto Studio Lighting Kit Youtube Vlog LD-TZ07A,412900,2037000,79.7,,0,Jakarta Barat,27rb,Toko O
150,Mcdodo Kabel 3 in 1 6A Super Fast Charging VOOC Type C Lightning Micro USB,115000,115000,0,,0,Jakarta Pusat,3rb,Toko G
151,Mcdodo Kabel 20CM USB to iPhone Lightning NYLON 3A Fast Charging,37500,37500,0,,0,Jakarta Pusat,3rb,Toko G
152,Microphone Clip-on Lightning Plug Lavalier iPhone JH041,46500,227400,79.6,,0,Jakarta Barat,15rb,Toko E
153,Lampu LED Bulb Light 50W - 6500K Lighting Studio,120000,120000,0,3.3,5,Jakarta Utara,4rb,Toko B
154,Kabel Data Mcdodo Usb 3A Auto Power Off iPhone Lightning 1.8m Original,79000,79000,0,5,2,Jakarta Pusat,3rb,Toko G
155,Portrait Foto Studio Lighting Kit Youtube Vlog TaffSTUDIO VL-9004,236900,850000,72.1,,0,Jakarta Barat,27rb,Toko O
156,Boom Arm Bracket Lampu Foto Studio Lighting Perlengkapan Studio FOT-044,111000,177000,37.3,4.3,4,Jakarta Barat,3rb,Toko G
157,GVM Pro SD200B Bi-Color LED Monolight SD 200B SET 1 - 2 Lightning Lamp,3989000,3989000,0,,0,Jakarta Pusat,10rb,Toko N
158,GVM Pro SD300B Bi-Color LED Monolight SD 300B SET 1 - 2 Lightning Lamp,6099000,6099000,0,,0,Jakarta Pusat,10rb,Toko N
159,Reflektor Cahaya 5 in 1 Backdrop Studio Foto Lightning FOT-109,60000,90000,33.3,,0,Jakarta Barat,3rb,Toko G
160,Nanlite LT-65 Lantern Softbox 65CM for Lightning Forza Lampu Original,549000,549000,0,,0,Jakarta Pusat,10rb,Toko N
161,"Aputure Amaran Light Dome Mini SE (22.8"") Lightning Softbox Resmi",1130000,1130000,0,,0,Jakarta Pusat,10rb,Toko N
162,Tripod Light Stand Lighting Studio Tiang Lampu 5 Section 350cm 350 cm,173000,173000,0,,0,Sleman,3rb,Toko G
163,Takara WP-90D Wall Plate with 90 degree baby pin for Lightning WP90D,185000,185000,0,,0,Jakarta Pusat,10rb,Toko N
164,Wireless Lavalier Lapel Microphone System Lightning M9,92000,462600,80.1,,0,Jakarta Barat,15rb,Toko E
165,Microphone Clip on Lightning Plug Lavalier iPhone JH-041,47400,188000,74.8,,0,Jakarta Barat,27rb,Toko O
166,Wireless Lavalier Lapel Microphone System Lightning - M9,93300,327000,71.5,,0,Jakarta Barat,27rb,Toko O
167,Wireless Lavalier Lapel Microphone Vlogger Lightning HO86,232600,280200,17,,0,Jakarta Barat,15rb,Toko E
168,Mikrofon Wireless Lavalier Portable Mic USB Lightning G10,91600,460800,80.1,,0,Jakarta Barat,15rb,Toko E
169,Zhiyun Molus X100 Combo Bi-Color LED Lampu Lighting 100W Resmi,5584000,5584000,0,,0,Tangerang,3rb,Toko G
170,Takara WP-90D Wall Plate with 90 degree baby pin for Lightning Studio,209000,209000,0,,0,Jakarta Pusat,10rb,Toko N
171,Light Stand Tripod Tiang Lampu 160cm 160 cm for Studio Lighting Kamera,57000,57000,0,,0,Sleman,3rb,Toko G
172,Tripod Lampu Sunset Proyektor LED Night Lightning Sunset Red Projector,24750,24750,0,4.8,4,Kab. Bekasi,108rb,Toko R
173,TaffSTUDIO Mikrofon Portable Wireless Lavalier Mic USB Lightning - G10,110000,110000,0,5,1,Jakarta Barat,12rb,Toko W
174,Nanlite Forza 60 II Daylight LED Monolight Lighting Kamera Video 60II,3970000,3970000,0,,0,Jakarta Pusat,10rb,Toko N
175,Paket Lighting Studio Lengkap Terjangkau dengan 3 Kain Backdrop,1100000,1100000,0,,0,Kab. Tangerang,4rb,Toko B
176,TaffSTUDIO Portable Light Stand Tripod 3 Section 200cm for Studio Lightning - SN303 - Black,47800,47800,0,,0,Jakarta Barat,27rb,Toko O
177,Paket lighting studio foto photo profesional peralatan perlengkapan lightning kit youtube youtuber vlog unboxing with backdrop lengkap,1092100,1092100,0,5,5,Jakarta Timur,2rb,Toko M
178,ROCKWARE RGB Colorful Handheld Lighting Stick - Alat Cahaya Fotografi,298700,298700,0,,0,Kab. Tangerang,3rb,Toko G
179,Microphone Wireless Lavalier Lapel Vlogger Lightning E60,340700,410400,17,,0,Jakarta Barat,15rb,Toko E
180,Mcdodo OTG Converter iPhone Lightning to Type C Female Audio Headset,105000,105000,0,,0,Jakarta Pusat,3rb,Toko G
